Retention Time (min),Total Absorbance Chromatogram (mAU)
6.199166666666667,1968.4560000000004
6.199583333333333,1962.3099999999997
6.2,1954.654
6.2004166666666665,1946.6334999999988
6.200833333333334,1941.449499999998
6.20125,1940.3595000000023
6.201666666666667,1940.4615000000001
6.202083333333333,1941.6775000000002
6.2025,1943.8864999999985
6.202916666666667,1944.8125000000018
6.203333333333333,1943.8674999999985
6.20375,1941.2475000000002
6.204166666666667,1937.0115000000012
6.204583333333333,1935.3830000000005
6.205,1935.1055000000013
6.205416666666666,1935.597
6.2058333333333335,1938.3414999999986
6.20625,1938.8610000000017
6.206666666666667,1937.811499999999
6.207083333333333,1934.1795
6.2075,1926.6095000000012
6.207916666666667,1917.763999999999
6.208333333333333,1909.0765000000004
6.20875,1903.3754999999976
6.2091666666666665,1899.8104999999998
6.209583333333334,1895.6125000000009
6.21,1890.4499999999982
6.210416666666666,1885.7169999999999
6.210833333333333,1880.6914999999979
6.21125,1876.6754999999976
6.211666666666667,1876.1579999999994
6.212083333333333,1877.3915
6.2125,1880.3344999999986
6.212916666666667,1882.6189999999995
6.213333333333333,1881.2904999999994
6.21375,1877.2345
6.214166666666666,1870.5575000000006
6.214583333333334,1865.4415000000017
6.215,1862.2079999999985
6.215416666666667,1858.6810000000003
6.215833333333333,1857.320000000001
6.21625,1855.558
6.216666666666667,1853.8450000000018
6.217083333333333,1852.6429999999991
6.2175,1851.8030000000012
6.2179166666666665,1852.5814999999998
6.218333333333334,1854.0339999999992
6.21875,1856.3755000000006
6.219166666666666,1856.5860000000011
6.2195833333333335,1855.3939999999998
6.22,1853.7614999999994
6.220416666666667,1851.7295000000015
6.220833333333333,1851.847999999999
6.22125,1850.941000000001
6.221666666666667,1851.0944999999995
6.222083333333333,1849.965500000001
6.2225,1846.3845000000006
6.222916666666666,1846.4334999999994
6.223333333333334,1846.6125000000009
6.22375,1850.8949999999995
6.224166666666667,1856.9920000000004
6.224583333333333,1861.0604999999991
6.225,1864.1675000000002
6.225416666666667,1862.1040000000007
6.225833333333333,1857.5324999999998
6.22625,1851.2944999999997
6.226666666666667,1846.8265000000008
6.227083333333334,1844.5164999999995
6.2275,1846.202
6.227916666666666,1849.139500000001
6.2283333333333335,1849.056000000001
6.22875,1847.686999999998
6.229166666666667,1842.848000000001
6.229583333333333,1838.5565000000004
